ParameterIndex,Parameter,Perturbation_pct,BaselineValue,TestValue,Global_R2,Global_RMSE_N,Global_MAE_N,Reference_R2,Reference_RMSE_N,Reference_MAE_N,Reference_Calpha_N_per_deg,Reference_PeakMu,Reference_PeakSA_deg
8,PKY2,-5,1.41157173599834,1.34099314919842,0.997072857777225,79.9009456431205,59.596257578613,0.995691332488709,119.08540855921,96.8367312750175,561.635273423459,2.51268325820928,12
8,PKY2,0,1.41157173599834,1.41157173599834,0.997189234370552,78.2964955986744,57.9288230204863,0.995907461439394,116.060236186547,93.2564085978828,561.635273423459,2.51244225437599,12
8,PKY2,5,1.41157173599834,1.48215032279825,0.997232673589288,77.6891198192373,57.1487089364399,0.996108696224751,113.170863002077,89.6910191707291,561.635273423459,2.51197901074276,12
8,PKY2,10,1.41157173599834,1.55272890959817,0.997194442087821,78.2239290622499,57.4772582281257,0.996282193450098,110.619184912895,86.6458112249458,561.635273423459,2.51125137122675,12
9,PKY3,-10,19.9999999999999,17.9999999999999,0.99720434378857,78.0857685648036,57.9070658944778,0.99590746066817,116.060247122117,93.2564217918878,561.635273423459,2.51244225437599,12
9,PKY3,-5,19.9999999999999,18.9999999999999,0.99719762143117,78.1795936332368,57.9082737886694,0.995907461053782,116.06024165433,93.2564151948859,561.635273423459,2.51244225437599,12
9,PKY3,0,19.9999999999999,19.9999999999999,0.997189234370552,78.2964955986744,57.9288230204863,0.995907461439394,116.060236186547,93.2564085978828,561.635273423459,2.51244225437599,12
9,PKY3,5,19.9999999999999,20.9999999999999,0.997179144597573,78.4368997236254,57.9698730993338,0.995907461825006,116.060230718768,93.2564020008784,561.635273423459,2.51244225437599,12
9,PKY3,10,19.9999999999999,21.9999999999999,0.997167313169601,78.6012203534536,58.0281297361404,0.995907462210617,116.060225250994,93.2563954038727,561.635273423459,2.51244225437599,12
10,PHY1,-10,-0.00175741139330899,-0.00158167025397809,0.997191536237618,78.2644287060984,57.8746591833793,0.995906803484213,116.069565281889,93.2140945010262,561.635273423459,2.51245957128962,12
10,PHY1,-5,-0.00175741139330899,-0.00166954082364354,0.997190882945872,78.2735309300448,57.8947316242979,0.995907414699466,116.060898933096,93.2312847414499,561.635273423459,2.51245097768464,12
10,PHY1,0,-0.00175741139330899,-0.00175741139330899,0.997189234370552,78.2964955986744,57.9288230204863,0.995907461439394,116.060236186547,93.2564085978828,561.635273423459,2.51244225437599,12
10,PHY1,5,-0.00175741139330899,-0.00184528196297444,0.997186590489265,78.3333108317275,57.9768285720597,0.995906943420284,116.067581201992,93.2845857645539,561.635273423459,2.51243340113755,12
10,PHY1,10,-0.00175741139330899,-0.00193315253263989,0.997182951280938,78.3839574064717,58.0374082910284,0.995905860357532,116.082936494143,93.3199721477393,561.635273423459,2.51242441774276,12
11,PHY2,-10,-0.00385574592467018,-0.00347017133220316,0.997192050463992,78.2572633161937,57.8873814647749,0.995907479953152,116.059973670571,93.2571357286178,561.635273423459,2.51244225437599,12
11,PHY2,-5,-0.00385574592467018,-0.00366295862843667,0.997190831990024,78.2742408463593,57.9049534644314,0.995907470753226,116.060104121067,93.2567722138293,561.635273423459,2.51244225437599,12
11,PHY2,0,-0.00385574592467018,-0.00385574592467018,0.997189234370552,78.2964955986744,57.9288230204863,0.995907461439394,116.060236186547,93.2564085978828,561.635273423459,2.51244225437599,12
11,PHY2,5,-0.00385574592467018,-0.00404853322090369,0.997187257593725,78.3240232397758,57.9598652424899,0.995907452011654,116.060369867039,93.2560621932067,561.635273423459,2.51244225437599,12
11,PHY2,10,-0.00385574592467018,-0.0042413205171372,0.997184901648418,78.3568183672128,57.9974806108425,0.995907442470003,116.060505162573,93.2557199445011,561.635273423459,2.51244225437599,12
12,PHY3,-10,-0.119245971018025,-0.107321373916222,0.997159867384712,78.7044551503053,58.330504932819,0.995907467140197,116.060155352029,93.2557603686462,561.635273423459,2.51244225437599,12
12,PHY3,-5,-0.119245971018025,-0.113283672467124,0.997177908326012,78.4540857669568,58.0805134759055,0.995907464339174,116.060195069132,93.2560823881331,561.635273423459,2.51244225437599,12
12,PHY3,0,-0.119245971018025,-0.119245971018025,0.997189234370552,78.2964955986744,57.9288230204863,0.995907461439394,116.060236186547,93.2564085978828,561.635273423459,2.51244225437599,12
12,PHY3,5,-0.119245971018025,-0.125208269568926,0.997193842583069,78.2322862435499,57.8712600372692,0.995907458440858,116.060278704255,93.2567376021934,561.635273423459,2.51244225437599,12
12,PHY3,10,-0.119245971018025,-0.131170568119827,0.997191730197142,78.2617260909343,57.9104114018147,0.995907455343568,116.060322622236,93.2570665406778,561.635273423459,2.51244225437599,12
13,PVY1,-10,0.0680669503495176,0.0612602553145659,0.9971683269699,78.5871536605,58.1766176131235,0.995903935607244,116.110219932323,93.2163721546549,561.635273423459,2.50563555934104,12
13,PVY1,-5,0.0680669503495176,0.0646636028320417,0.997181751901911,78.4006419013969,58.0219009616185,0.995908374174447,116.04729334541,93.2123673014231,561.635273423459,2.50903890685851,12
13,PVY1,0,0.0680669503495176,0.0680669503495176,0.997189234370552,78.2964955986744,57.9288230204863,0.995907461439394,116.060236186547,93.2564085978828,561.635273423459,2.51244225437599,12
13,PVY1,5,0.0680669503495176,0.0714702978669935,0.997190774375823,78.2750435190272,57.9019152828101,0.995901197402084,116.149023092649,93.3252513758332,561.635273423459,2.51584560189347,12
13,PVY1,10,0.0680669503495176,0.0748736453844694,0.997186371917723,78.3363535988756,57.9342379893537,0.995889582062516,116.31348037908,93.4182776661832,561.635273423459,2.51924894941094,12
14,PVY2,-10,0.0501696793564739,0.0451527114208265,0.997188360290863,78.3086688044437,57.954159546812,0.995907349330154,116.061825827737,93.2567612127895,561.635273423459,2.51244225437599,12
14,PVY2,-5,0.0501696793564739,0.0476611953886502,0.997188908307485,78.3010368622544,57.9398265132779,0.995907405445954,116.061030142372,93.2565827773537,561.635273423459,2.51244225437599,12
14,PVY2,0,0.0501696793564739,0.0501696793564739,0.997189234370552,78.2964955986744,57.9288230204863,0.995907461439394,116.060236186547,93.2564085978828,561.635273423459,2.51244225437599,12
14,PVY2,5,0.0501696793564739,0.0526781633242975,0.997189338480065,78.2950455514996,57.9213903514859,0.995907517310475,116.059443960298,93.2562729050808,561.635273423459,2.51244225437599,12
14,PVY2,10,0.0501696793564739,0.0551866472921212,0.997189220636024,78.2966868924768,57.9170611700426,0.995907573059196,116.058653463661,93.2561372122789,561.635273423459,2.51244225437599,12
15,PVY3,-10,0.193546586521998,0.174191927869799,0.997186419214051,78.3356951896316,57.9311210308173,0.995907452362797,116.060364888021,93.2566983803539,561.635273423459,2.51244225437599,12
