SweepID,OriginalFullSweepID,Stage2RegionID,RunNumber,ConditionID,SampleCount,FZ_Mean_N,FZ_Median_N,FZ_Std_N,Pressure_Mean_psi,IA_Mean_deg,Speed_Mean_mph,SA_Min_deg,SA_Max_deg,FY_Min_N,FY_Max_N,PeakAbsFY_N,PeakSignedFY_N,SA_AtPeak_deg,MuY_Peak,RawCorneringSlope_N_per_deg,CorneringStiffness_N_per_deg,CorneringStiffness_N_per_rad,Stiffness_R2,ZeroSlipFY_N,PositivePeakFY_N,NegativePeakFY_N,SymmetryRatio,PeakStatus,PeakBoundaryDistance_deg,LoadQC,StiffnessQC
36,36,36,2,46,526,209.329410646388,209.17,15.902468063453,14.0842066203515,-5.13307984790875e-05,24.992636160715,-10.476,10.486,-649.78,604.9,649.78,-649.78,9.196,3.10410275361473,-199.888614558877,199.888614558877,11452.7739869409,0.989665869198836,0.203798644884306,649.78,604.9,1.07419408166639,RESOLVED,1.29,LOW_LOAD,GOOD
37,37,37,2,50,527,1083.93721062619,1081.01,24.0761645537459,14.1017137523974,-0.00178937381404175,24.9943437535419,-10.49,10.49,-2568.77,2454.14,2568.77,-2568.77,10.455,2.36985129287704,-574.760786216449,574.760786216449,32931.3672798235,0.997686921811954,-34.8553677224084,2568.77,2454.14,1.0467088267173,BOUNDARY_LIMITED,0.0350000000000001,NORMAL,GOOD
38,38,38,2,47,526,428.457186311787,428.58,16.7436584746494,14.0901046378612,-0.00126996197718631,24.9947152734495,-10.497,10.476,-1147.93,1069.87,1147.93,-1147.93,10.052,2.67921751968155,-317.36653357766,317.36653357766,18183.7629326968,0.993082765908988,-2.12294657278429,1147.93,1069.87,1.07296213558657,BOUNDARY_LIMITED,0.424000000000001,NORMAL,GOOD
39,39,39,2,54,526,870.626254752852,871.2,17.1685726018356,14.1026892811125,1.99393536121673,24.9933567622877,-10.485,10.472,-2120.83,1990.05,2120.83,-2120.83,10.155,2.43598213173809,-502.505639473205,502.505639473205,28791.4523233372,0.997710461128262,82.4693277357502,2120.83,1990.05,1.06571694178538,BOUNDARY_LIMITED,0.317,NORMAL,GOOD
40,40,40,2,53,526,659.623840304183,660.425,18.3504435364892,14.1131810794409,1.99303422053232,24.9970897146974,-10.483,10.466,-1662.49,1544.84,1662.49,-1662.49,10.466,2.52036069410916,-422.140592380899,422.140592380899,24186.8743045779,0.996698188200921,51.8235511640587,1662.49,1544.84,1.07615675409751,BOUNDARY_LIMITED,0,NORMAL,GOOD
41,41,41,2,51,526,211.675817490494,211.685,18.9353520217497,14.1027278843126,1.99573384030418,24.994089177001,-10.479,10.486,-629.46,645.44,645.44,645.44,-7.651,3.04919101129247,-197.802638758042,197.802638758042,11333.2563773867,0.988337553736796,8.38686958682675,629.46,645.44,0.975241695587506,RESOLVED,2.828,LOW_LOAD,GOOD
42,42,42,2,55,526,1095.77268060836,1098.24,20.2764842505439,14.0900853362611,1.99313498098859,24.9938292879092,-10.471,10.499,-2580.42,2432.59,2580.42,-2580.42,10.396,2.35488623294329,-570.05718475654,570.05718475654,32661.8707676592,0.998578069579615,111.610011026496,2580.42,2432.59,1.0607706189699,BOUNDARY_LIMITED,0.103,NORMAL,GOOD
43,43,43,2,52,526,436.993288973384,437.535,19.9844816276018,14.11576473648,1.99267300380228,24.9911358918668,-10.47,10.491,-1176.28,1136.49,1176.28,-1176.28,10.162,2.69175758456932,-317.770984623605,317.770984623605,18206.9362706491,0.99359031405237,24.197083741277,1176.28,1136.49,1.03501130674269,BOUNDARY_LIMITED,0.328999999999999,NORMAL,GOOD
44,44,44,2,59,526,878.750209125475,879.08,16.8547000920894,14.0850090154404,3.99188403041825,24.9942663741091,-10.495,10.471,-2097.33,1941.44,2097.33,-2097.33,10.471,2.38671920441105,-470.035488072188,470.035488072188,26931.0496879081,0.998262171050549,166.819455208665,2097.33,1941.44,1.08029606889731,BOUNDARY_LIMITED,0,NORMAL,GOOD
45,45,45,2,58,526,668.832585551331,669.235,18.3060615557564,14.0969429190319,3.98862547528517,24.9938765404713,-10.466,10.492,-1638.55,1512.33,1638.55,-1638.55,10.268,2.44986568447366,-394.542700471169,394.542700471169,22605.6315746922,0.997440130477464,103.374817776944,1638.55,1512.33,1.08346062036725,BOUNDARY_LIMITED,0.224,NORMAL,GOOD
46,46,46,2,56,526,217.75108365019,217.045,18.7669466924377,14.1010403729915,3.99256273764259,24.9925652818718,-10.466,10.461,-598.57,612.13,612.13,612.13,-8.147,2.81114559679237,-178.017996530313,178.017996530313,10199.6798785615,0.989922884486849,9.80061051822682,598.57,612.13,0.977847842778495,RESOLVED,2.319,LOW_LOAD,GOOD
47,47,47,2,60,526,1106.31435361217,1106.045,17.1402923423548,14.0874410170503,3.99210266159696,24.9941836821253,-10.461,10.458,-2522.39,2367.88,2522.39,-2522.39,10.243,2.27999392014058,-534.695020278356,534.695020278356,30635.7679886117,0.998718888429883,238.945489206839,2522.39,2367.88,1.06525246211801,BOUNDARY_LIMITED,0.215,NORMAL,GOOD
48,48,48,2,57,526,443.993117870722,444.72,19.7664941172919,14.1073602683315,3.98905703422053,24.9960855977517,-10.467,10.486,-1131.88,1066.9,1131.88,-1131.88,10.412,2.54931879446287,-297.730878250966,297.730878250966,17058.7227545037,0.995147789656743,49.6509333436101,1131.88,1066.9,1.06090542693786,BOUNDARY_LIMITED,0.0739999999999998,NORMAL,GOOD
49,49,49,4,5,527,1084.29400379507,1075.96,40.4429230545209,8.10033838745533,-0.00198102466793169,24.9865972474072,-10.494,10.494,-2661.4,2592.11,2661.4,-2661.4,10.231,2.45450033910084,-533.481901999212,533.481901999212,30566.2614311666,0.999677226524241,-31.2239067560329,2661.4,2592.11,1.02673111866395,BOUNDARY_LIMITED,0.263,NORMAL,GOOD
50,50,50,4,4,526,869.325475285171,864.22,26.72849802244,8.10267108706798,-0.000925855513307985,24.9898482595483,-10.48,10.479,-2255.84,2219.58,2255.84,-2255.84,10.441,2.59493143147565,-498.449432419173,498.449432419173,28559.04877831,0.999511686258846,-24.2467460784036,2255.84,2219.58,1.01633642400815,BOUNDARY_LIMITED,0.0379999999999985,NORMAL,GOOD
51,51,51,4,3,526,647.314600760456,645.215,17.9062429691121,8.10157365323494,-0.00234030418250951,24.9882771118569,-10.484,10.471,-1761.31,1744.77,1761.31,-1761.31,9.829,2.72094897586249,-444.399089243717,444.399089243717,25462.1922331226,0.998696206030814,-9.23242153185046,1761.31,1744.77,1.00947975950985,BOUNDARY_LIMITED,0.641999999999999,NORMAL,GOOD
52,52,52,4,1,526,204.059125475285,204.88,15.9264713215941,8.10620052251093,-0.000361216730038022,24.9863751962305,-10.494,10.467,-753.31,706.98,753.31,-753.31,7.524,3.69162613161957,-227.075902014176,227.075902014176,13010.4908145385,0.992273841867135,8.94110373356544,753.31,706.98,1.06553226399615,RESOLVED,2.943,LOW_LOAD,GOOD
53,53,53,4,5,526,1087.07828897338,1077.76,44.3032963378589,8.10002952522865,0.00226996197718631,24.9877455205327,-10.479,10.461,-2685.17,2629.33,2685.17,-2685.17,10.025,2.47007968720985,-517.172742821316,517.172742821316,29631.8154428661,0.999555582001261,-43.3310815879022,2685.17,2629.33,1.02123734943883,BOUNDARY_LIMITED,0.436,NORMAL,GOOD
54,54,54,4,2,526,425.416711026616,425.31,14.335835684783,8.09656902407169,0.00246958174904943,24.9885842535108,-10.474,10.489,-1279.93,1241.91,1279.93,-1279.93,9.643,3.00865002907683,-355.314729040545,355.314729040545,20358.0343728576,0.996818682737697,-1.42503469151245,1279.93,1241.91,1.03061413467965,RESOLVED,0.846,HIGH_MU,GOOD
55,55,55,4,9,526,868.869239543726,864.09,22.112689573693,8.10159019746358,1.9946102661597,24.9863633830899,-10.457,10.489,-2232.25,2177.69,2232.25,-2232.25,10.325,2.56914377722962,-488.230663392833,488.230663392833,27973.5564412817,0.999514740666631,124.954663870377,2232.25,2177.69,1.02505407105695,BOUNDARY_LIMITED,0.164000000000001,NORMAL,GOOD
