Pressure_psi,Camber_deg,Fz_N,Measured_Fy_peak_N,MF_Fy_peak_N,Fy_error_pct,Measured_mu,MF_mu,mu_error_pct,Measured_peak_SA_deg,MF_peak_SA_deg,Peak_SA_error_deg,Measured_Calpha_N_per_deg,MF_Calpha_N_per_deg,Calpha_error_pct
12.1106511007682,4,656.195,1822.105,1641.52699425137,-9.91040613733183,2.28853431522962,2.50158412400486,9.30944348780125,7.2,10.35,3.15,NaN,-413.117755698678,NaN
12.1469105352016,-0,660.38,2192.905,1677.4514607483,-23.5055116045474,2.39065329351964,2.54013062289636,6.25257245715686,12.2,9.33,-2.87,NaN,-466.358252414977,NaN
12.1469105352016,2,661.175,1963.865,1683.73753535483,-14.2640896724148,2.44794459859631,2.54658378697747,4.02946980245075,10.6,9.71,-0.889999999999999,NaN,-453.142082422131,NaN
12.1469105352016,4,663.955,2030.485,1656.38081344039,-18.4243757801515,2.36694302191177,2.49471848760893,5.39833297693664,8.8,10.37,1.57,NaN,-415.539546080674,NaN
12.1831699696351,0,664.545,2154.03,1685.41180929248,-21.7554161598268,2.39656937640777,2.53618913586361,5.82581755530549,10.2,9.34,-0.859999999999999,NaN,-467.65228102383,NaN
12.1831699696351,2,660.06,2045.185,1680.31579371572,-17.8404010534146,2.42580309216684,2.54570159336382,4.9426312293914,11,9.71,-1.29,NaN,-452.412151061078,NaN
12.1831699696351,4,667.42,1929.22,1662.40878300302,-13.8300047167757,2.32282339652801,2.49079857211804,7.23150868211092,7.6,10.38,2.78,NaN,-416.445188432972,NaN
12.2194294040685,-0,671.185,2329.46,1698.67285819282,-27.0786852664214,2.40726189728111,2.53085640798412,5.13423615613245,8.6,9.35,0.75,NaN,-469.866054397614,NaN
12.2194294040685,2,661.8,2149.52,1682.96812934784,-21.7049327595074,2.44292878408821,2.54301621237207,4.09702603431468,9.4,9.71,0.31,NaN,-452.75686630691,NaN
12.2194294040685,4,671.47,2105.15,1669.60285645228,-20.6896013845913,2.38181229883487,2.48648913049321,4.39483966513841,9.2,10.38,1.18,NaN,-417.536584400962,NaN
12.2556888385019,-0,853.445,2545.63,2070.70157870361,-18.6566162913067,2.44306575882458,2.4262859102855,-0.686835730003085,12.2,9.82,-2.38,NaN,-522.882578704009,NaN
12.2556888385019,2,659.15,2363.38,1676.29415373824,-29.0721697848743,2.44230272315596,2.54311485054728,4.12774904746643,10.2,9.71,-0.489999999999998,NaN,-451.449640511758,NaN
12.2556888385019,4,665.18,2425.48,1655.78771019387,-31.733606948156,2.45172723989886,2.48923255388596,1.52975067441239,10,10.37,0.370000000000001,NaN,-415.109725738141,NaN
