ConditionID,Pressure_psi,Camber_deg,FZ_N,PeakFY_N,Mu_y,PeakSA_deg,PeakFY_Pos_N,PeakFY_Neg_N,PeakSA_Pos_deg,PeakSA_Neg_deg,Mu_Pos,Mu_Neg,CAlpha_NperDeg,Samples
31,12.099044934,0,397.33,711.333809523809,1.79028467400853,2.93,NaN,NaN,NaN,NaN,NaN,NaN,293.003821902608,94
31,12.099044934,0,423.89,1193.8680952381,2.8164573243957,11.765,1193.8680952381,1132.0080952381,11.765,-11.733,2.8164573243957,2.67557279831264,327.492011618551,4901
31,12.099044934,0,651.71,1728.33142857143,2.65199464266534,10.567,1728.33142857143,1642.19142857143,10.567,-11.678,2.65199464266534,2.53741780400103,428.333223237099,4954
31,12.099044934,0,870.92,2245.07238095238,2.57781699921047,10.197,2245.07238095238,2121.54142857143,10.197,-10.483,2.57781699921047,2.46349984158133,510.088335988799,4487
31,12.099044934,0,900.25,2214.94,2.46036101083032,11.702,2214.94,2018.15904761905,11.702,-7.918,2.46036101083032,2.24075572093692,513.437969752718,510
31,12.099044934,0,1085.37,2761.1780952381,2.5439970657362,9.902,2761.1780952381,2586.42,9.902,-10.073,2.5439970657362,2.41360582306831,572.266871493932,4180
31,12.099044934,0,1103.08,2761.55428571429,2.50349411258865,9.71,2761.55428571429,2570.91857142857,9.71,-11.211,2.50349411258865,2.33579722296492,565.226533140032,3316
32,12.091793049,2,417.91,1190.69761904762,2.84917235540575,11.788,1190.69761904762,1156.49047619048,11.788,-7.27,2.84917235540575,2.65310960355695,327.174705895652,2467
32,12.091793049,2,647.65,1740.8419047619,2.68793623834155,10.476,1740.8419047619,1638.65761904762,10.476,-10.546,2.68793623834155,2.51675260182402,429.966875911245,2494
32,12.091793049,2,864.87,2252.27238095238,2.60417447819023,9.927,2252.27238095238,2100.91857142857,9.927,-10.401,2.60417447819023,2.42877951865131,505.949663488375,2393
